"indicator_id","indicator_name"
"CC.GAS.PPBC.OP","Gas pipeline capacity by project status (barrels of oil equivalent per day) - Operating"
"CC.GAS.PPBC.PR","Gas pipeline capacity by project status (barrels of oil equivalent per day) - Proposed"
"CC.GAS.PPBC.RT","Gas pipeline capacity by project status (barrels of oil equivalent per day) - Retired"
"CC.GAS.PPBC.SH","Gas pipeline capacity by project status (barrels of oil equivalent per day) - Shelved"
"CC.GHG.FSYS.CH","GHG emissions from food systems, by gas (Mt CO2 eq) - Methane"
"CC.GHG.FSYS.CO","GHG emissions from food systems, by gas (Mt CO2 eq) - CO2"
"CC.GHG.FSYS.FG","GHG emissions from food systems, by gas (Mt CO2 eq) - F-gases"
"CC.GHG.FSYS.NO","GHG emissions from food systems, by gas (Mt CO2 eq) - N2O"
"CC.GHG.MEMG.EI","Macro drivers of GHG emissions growth in the period 2012-2018 - Emission Intensity of GDP"
"CC.GHG.MEMG.GC","Macro drivers of GHG emissions growth in the period 2012-2018 - GDP per capita"
"CC.IEN.AGS","Emission Totals - Indirect emissions (N2O) - Agricultural Soils"
"CC.IEN.SAS","Emission Totals - Indirect emissions (N2O) - Manure applied to Soils"
"CC.INCP.ALRS","Annual investment needs for coastal protection, by risk strategy (% of GDP) - low risk tolerance"
"CC.INCP.KRGC","Annual investment needs for coastal protection, by risk strategy (% of GDP) - constant relative flood risk"
"CC.INCP.SPMC","Annual investment needs for coastal protection, by risk strategy (% of GDP) - optimal protection"
"CC.NEFO.IMCR.BA","Net food imports by crop - Barley"
"CC.NEFO.IMCR.BP","Net food imports by crop - Rice, paddy"
"CC.NEFO.IMCR.MA","Net food imports by crop - Maize"
"CC.NEFO.IMCR.RB","Net food imports by crop - Rice, broken"
"CC.NEFO.IMCR.RE","Net food imports by crop - Rice, paddy (rice milled equivalent)"
"CC.NEFO.IMCR.RH","Net food imports by crop - Rice, husked"
"CC.NEFO.IMCR.RI","Net food imports by crop - Rice, milled/husked"
"CC.NEFO.IMCR.RM","Net food imports by crop - Rice, milled"
"CC.NEFO.IMCR.SB","Net food imports by crop - Soybeans"
"CC.NEFO.IMCR.WH","Net food imports by crop - Wheat"
"CC.OIL.PSBC.CN","Oil pipeline capacity by project status (barrels of oil equivalent per day) - Cancelled"
"CC.OIL.PSBC.CO","Oil pipeline capacity by project status (barrels of oil equivalent per day) - Construction"
"CC.OIL.PSBC.ID","Oil pipeline capacity by project status (barrels of oil equivalent per day) - In Development (Proposed + Construction)"
"CC.OIL.PSBC.OP","Oil pipeline capacity by project status (barrels of oil equivalent per day) - Operating"
"CC.OIL.PSBC.PR","Oil pipeline capacity by project status (barrels of oil equivalent per day) - Proposed"
"CC.OIL.PSBC.RT","Oil pipeline capacity by project status (barrels of oil equivalent per day) - Retired"
"CC.OIL.PSBC.SH","Oil pipeline capacity by project status (barrels of oil equivalent per day) - Shelved"
"CC.RISK.AST.ZS","Risk to asset (average annual losses as % of GDP)"
"CC.RISK.WELL.ZS","Risk to wellbeing (average annual losses as % of GDP)"
"CC.SP.EXP.ZS","Public social protection expenditure (%of GDP)"
"CM.FIN.INTL.GD.ZS","Financing via international capital markets (gross inflows, % of GDP)"
"CM.MKT.LCAP.GD.ZS","Market capitalization of listed domestic companies (% of GDP)"
"CM.MKT.TRAD.GD.ZS","Stocks traded, total value (% of GDP)"
"CoCA_fexp","Affordability of an energy sufficient diet: ratio of cost to food expenditures"
"CoCA_fexp","Affordability of an energy sufficient diet: ratio of cost to food expenditures"
"CoCA_pov","Affordability of an energy sufficient diet: ratio of cost to the food poverty line"
"CoCA_pov","Affordability of an energy sufficient diet: ratio of cost to the food poverty line"
"CoHD_asf_LCU","Cost of animal source foods in local currency unit"
"CoHD_asf_LCU","Cost of animal source foods in local currency unit"
"CoHD_asf_PPP","Cost of animal source foods in PPP dollars"
"CoHD_asf_PPP","Cost of animal source foods in PPP dollars"
"CoHD_asf_prop","Cost share for animal-sourced foods in a least-cost healthy diet"
"CoHD_asf_prop","Cost share for animal-sourced foods in a least-cost healthy diet"
"CoHD_asf_ss","Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet"
"CoHD_asf_ss","Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet"
"CoHD_fexp","Affordability of a healthy diet: ratio of cost to food expenditures"
"CoHD_fexp","Affordability of a healthy diet: ratio of cost to food expenditures"
"CoHD_of_LCU","Cost of fats and oils in local currency unit"
"CoHD_of_LCU","Cost of fats and oils in local currency unit"
"CoHD_of_PPP","Cost of fats and oils in PPP dollars"
"CoHD_of_PPP","Cost of fats and oils in PPP dollars"
"CoHD_of_prop","Cost share for oils and fats in a least-cost healthy diet"
