"flow_id","code","code_name"
"IRFCL","IRFCLDT1_IRFCL64_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve assets, securities of which: issuer headquartered in reporting country but located abroad"
"IRFCL","IRFCLDT1_IRFCL65_DIC_XDR_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve assets, Denominated in Special Drawing Rights (SDRs)"
"IRFCL","IRFCLDT1_IRFCL65_DIC_XDR_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve assets, Denominated in Special Drawing Rights (SDRs)"
"IRFCL","IRFCLDT1_IRFCL65_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve assets"
"IRFCL","IRFCLDT1_IRFCL65_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve assets"
"IRFCL","IRFCLDT1_IRFCLCDCFC_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve currency and deposits (in convertible foreign currencies)"
"IRFCL","IRFCLDT1_IRFCLCDCFC_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve currency and deposits (in convertible foreign currencies)"
"IRFCL","IRFCLDT1_IRFCLCDCFCD_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve currency and deposits (in convertible foreign currencies) with Domestic Currency"
"IRFCL","IRFCLDT1_IRFCLCDCFCU_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve currency and deposits (in convertible foreign currencies) with US Dollars"
"IRFCL","IRFCLDT2_IRFCL1_SM1MUT3M_LP_EUR","Predetermined short-term net drains on foreign currency assets (nominal value), Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), More than 1 and up to 3 months, Long positions"
"IRFCL","IRFCLDT2_IRFCL1_SM1MUT3M_LP_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), More than 1 and up to 3 months, Long positions"
"IRFCL","IRFCLDT2_IRFCL1_SM1MUT3M_LP_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), More than 1 and up to 3 months, Long positions"
"IRFCL","IRFCLDT2_IRFCL1_SM1MUT3M_SHP_EUR","Predetermined short-term net drains on foreign currency assets (nominal value), Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), More than 1 and up to 3 months, Short positions"
"IRFCL","IRFCLDT2_IRFCL1_SM1MUT3M_SHP_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), More than 1 and up to 3 months, Short positions"
"IRFCL","IRFCLDT2_IRFCL1_SM1MUT3M_SHP_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), More than 1 and up to 3 months, Short positions"
"IRFCL","IRFCLDT2_IRFCL1_SM3MUTY_IN_LP_EUR","Predetermined short-term net drains on foreign currency assets (nominal value), Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), More than 3 months and up to 1 year, Inflows, Long positions"
