flow_id,flow_name,dsd_ref,concept_ref,codelist_id,indicator_candidate,code,code_name,parent_code
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PALUM,"Aluminum, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PLOGSK,"Hard logs, import price Japan, Import price, US dollars per cubic meter",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PWOOLC,"Wool, coarse, Unit prices, US cents per kilogram",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,GGXWDN_NGDP,"Net debt, General government, Percent of GDP",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PFISH,"Fishmeal, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,NGDPRPC,"Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PNGASJP,"LNG, Asia, Unit prices, US dollars per million metric British thermal units of gas",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,LE,"Employed persons, Persons for countries / Index for country groups",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,NGDPPC,"Gross domestic product (GDP), Current prices, Per capita, Domestic currency",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,GGR,"Revenue, General government, Domestic currency",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PWOOLF,"Wool, fine, Unit prices, US cents per kilogram",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PCOFFOTM,"Coffee, other mild Arabica, Unit prices, US cents per pound",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PNICK,"Nickel, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,BCA,"Current account balance (credit less debit), US dollar",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PBANSOP,"Bananas, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PRICENPQ,"Rice, Thailand, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,DS_BX,"External debt: total debt service, Percent of exports of goods and services",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PCOFFROB,"Coffee, Robustas, Unit prices, US cents per pound",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PSALM,"Fish, Export price, US dollars per kilogram",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PSUGAUSA,"Sugar, No. 16, US, Import price, US cents per pound",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,GGXWDG_NGDP,"Gross debt, General government, Percent of GDP",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PCOPP,"Copper, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PLEAD,"Lead, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PBEEF,"Beef, Import price, US cents per pound",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,BF,"Financial account balance (assets less liabilities), US dollar",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PURAN,"Uranium, Unit prices, US dollars per pound",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,BCA_NGDPD,"Current account balance (credit less debit), Percent of GDP",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PHIDE,"Hides, Unit prices, US cents per pound",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PGNUTS,"Groundnuts, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,GGSB,"Structural balance, General government, Domestic currency",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,BFP,"Portfolio investment, Net (assets minus liabilities), US dollar",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,GGX_NGDP,"Expenditure, General government, Percent of GDP",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,GGXWDG,"Gross debt, General government, Domestic currency",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,GGXWDN,"Net debt, General government, Domestic currency",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,NGDP_FY,"Gross domestic product (GDP), Current prices, Fiscal year, Domestic currency",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,GGX,"Expenditure, General government, Domestic currency",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PRUBB,"Rubber, Unit prices, US cents per pound",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PWHEAMT,"Wheat, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PMAIZMT,"Corn, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,GGSB_NPGDP,"Structural balance, General government, Percent",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,POLVOIL,"Olive oil, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PIORECR,"Iron ore, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,D_BX,"External debt, Percent of exports of goods and services",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,BFD,"Direct investment, Net (assets minus liabilities), US dollar",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,TX_RPCH,"Exports of goods and services, Volume, Free on board (FOB), Percent change",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PCOCO,"Cocoa, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,BFO,"Other investment, Net (assets minus liabilities), US dollar",NA
